ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
COIMBRA/CE;548;2011;4;25;22.1;49.0;13.0;0.0;85.3;10.8;60.6;4.2;14.9;5.7;0.59
V.CASTELO;551;2011;4;25;21.6;51.0;10.0;0.0;83.3;15.3;76.6;2.8;20.4;4.6;0.40
FARO;554;2011;4;25;20.1;70.0;13.0;1.0;76.3;16.5;126.5;1.6;24.9;2.8;0.17
EVORA/CC;558;2011;4;25;22.4;49.0;9.0;0.0;81.0;6.1;9.8;2.0;5.9;0.9;0.02
VISEU/CC;560;2011;4;25;18.3;49.0;20.0;0.0;83.3;6.5;11.6;4.6;6.3;3.9;0.30
BEJA;562;2011;4;25;22.0;56.0;4.0;0.0;81.4;7.1;14.3;1.6;7.0;0.8;0.02
V.REAL;567;2011;4;25;20.0;49.0;8.0;0.5;82.8;13.6;87.6;2.4;19.6;3.7;0.28
P.DOURADAS;568;2011;4;25;11.2;65.0;18.0;0.2;61.7;1.7;9.9;1.1;2.4;0.4;0.00
C.BRANCO;570;2011;4;25;20.2;51.0;10.0;0.0;83.0;9.2;30.3;2.7;10.5;2.8;0.16
PORTALEGRE;571;2011;4;25;20.5;52.0;8.0;0.0;79.7;6.5;12.6;1.6;6.4;0.8;0.02
BRAGANCA;575;2011;4;25;18.6;49.0;13.0;0.2;83.1;8.1;19.9;3.2;8.1;2.9;0.18
LISBOA/GC;579;2011;4;25;22.2;55.0;14.0;0.0;83.4;8.2;19.5;3.4;8.2;3.2;0.21
MONCAO;605;2011;4;25;22.6;54.0;8.0;0.0;85.2;16.9;70.8;3.2;21.2;5.5;0.55
LAM.MOURO;606;2011;4;25;15.9;76.0;17.0;0.0;56.6;2.9;41.7;0.8;4.9;0.3;0.00
MONTALEGRE;611;2011;4;25;16.0;54.0;12.0;4.0;59.3;2.3;3.8;0.7;2.1;0.2;0.00
P.LIMA;615;2011;4;25;22.5;55.0;5.0;0.0;83.7;13.8;63.7;2.3;17.9;3.3;0.23
CHAVES;616;2011;4;25;19.8;54.0;5.0;0.8;75.0;8.1;34.9;1.0;10.3;0.6;0.01
CABRIL;619;2011;4;25;21.5;42.0;6.0;2.0;76.2;13.8;71.5;1.1;18.6;1.0;0.03
BRAGA;622;2011;4;25;23.9;45.0;4.0;0.0;87.1;19.5;69.1;3.5;22.9;6.2;0.68
C.BASTO;630;2011;4;25;22.0;41.0;13.0;0.0;85.3;9.7;15.2;4.2;9.5;4.4;0.38
