ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
FC.RODRIGO;671;2016;9;19;22.9;36.0;6.0;0.0;90.3;76.9;627.7;6.0;117.8;23.8;7.45
TRANCOSO;666;2016;9;19;21.7;33.0;9.0;0.0;90.4;77.5;663.0;7.0;120.0;26.8;9.17
SABUGAL;800;2016;9;19;23.4;38.0;5.0;0.0;90.0;348.1;880.2;5.5;350.1;26.8;9.14
COIMBRA/CE;548;2016;9;19;26.0;39.0;5.0;0.0;90.3;56.5;655.6;5.7;93.0;20.7;5.79
LOUSA;697;2016;9;19;28.6;31.0;4.0;0.0;92.3;63.7;700.5;7.2;103.9;25.7;8.53
PAMP.SERRA;686;2016;9;19;26.2;27.0;9.0;0.0;92.5;40.9;643.6;9.6;70.7;25.8;8.57
FIG.FOZ;713;2016;9;19;21.9;68.0;12.0;0.1;85.7;33.0;638.1;4.3;58.5;12.8;2.47
LEIRIA/AER;718;2016;9;19;17.8;40.0;9.0;0.0;88.5;64.3;677.2;5.4;104.0;20.8;5.87
ANSIAO;716;2016;9;19;27.8;31.0;6.0;0.0;92.1;66.4;628.6;7.7;105.0;27.0;9.32
ALCOBACA;726;2016;9;19;25.9;86.0;8.0;0.0;80.6;71.6;825.8;1.9;117.7;9.7;1.52
C.BRANCO;570;2016;9;19;26.4;27.0;8.0;0.0;92.7;104.7;851.5;9.6;160.1;36.3;15.71
COVILHA;687;2016;9;19;26.3;33.0;5.0;0.0;91.5;77.4;617.9;6.8;117.8;26.1;8.73
ZEBREIRA;803;2016;9;19;27.3;27.0;8.0;0.0;92.9;89.9;675.4;9.8;134.9;35.1;14.77
PROENCA;806;2016;9;19;27.4;27.0;8.0;0.0;92.9;102.2;791.9;9.5;154.5;35.9;15.38
LISBOA/GC;579;2016;9;19;26.8;35.0;12.0;0.0;91.2;100.3;812.2;9.3;153.3;35.3;14.90
D.PORTOS;739;2016;9;19;29.9;37.0;9.0;0.0;91.4;99.4;842.3;8.4;153.5;33.0;13.24
